baseline,scenario_name,algorithm,size,optimizer,annealings,iterations,status,score,evaluation,exec_time,total_cost,max_time
qb-nonlinear,scenario2,realamprandom,10,nonlinear,10,40,solution_found,-253.4214283630628,-253.4214283630628,22.317445930093527,253.4214283630628,708.5200000000001
qb-nonlinear,scenario2,ghz,6,nonlinear,10,40,solution_found,-757.7790045822712,-757.7790045822712,22.175530126318336,757.7790045822712,1595.32
qb-nonlinear,scenario1,twolocalrandom,8,nonlinear,10,40,solution_found,200.57776138973261,200.57776138973261,23.75314967148006,203.85552277946522,197.3
qb-linear,scenario3,twolocalrandom,8,linear,-,-,solution_found,265.6,229.51999999999998,0.016482634469866753,200.07617253840908,229.51999999999998
qb-linear,scenario3,vqe,10,linear,-,-,solution_found,265.6,229.51999999999998,0.01603611186146736,200.07617253840908,229.51999999999998
qb-nonlinear,scenario3,wstate,8,nonlinear,10,40,solution_found,1087.3600000000001,1087.3600000000001,20.344325540587306,1368.2845186077575,1087.3600000000001
qb-linear,scenario2,realamprandom,6,linear,-,-,solution_found,-881.3454744713816,-251.3387501360923,0.01618916727602482,251.3387501360923,849.32
qb-linear,scenario3,wstate,10,linear,-,-,no_solution_found,-,-,0.012169482186436653,-,-
qb-linear,scenario1,ghz,8,linear,-,-,no_solution_found,-,-,0.011239951476454735,-,-
qb-linear,scenario3,qnn,10,linear,-,-,solution_found,326.24,291.67999999999995,0.017196303233504295,287.6488527429426,291.67999999999995
qb-nonlinear,scenario1,qnn,6,nonlinear,10,40,solution_found,274.26866662009576,274.26866662009576,23.823688600212336,293.4173332401915,255.12000000000003
qb-nonlinear,scenario3,dj,10,nonlinear,10,40,solution_found,373.6,373.6,19.19769174978137,459.96822611825075,373.6
qb-nonlinear,scenario1,qaoa,10,nonlinear,10,40,solution_found,576.4505630300016,576.4505630300016,11.712145639583468,490.40112606000315,662.5000000000001
qb-linear,scenario2,qaoa,6,linear,-,-,solution_found,-1729.159105335793,-657.0218393686228,0.01798224449157715,657.0218393686228,1338.1200000000001
qb-nonlinear,scenario1,vqe,6,nonlinear,10,40,solution_found,200.7607374838968,200.7607374838968,23.530981678515673,204.0514749677936,197.47
qb-linear,scenario2,wstate,6,linear,-,-,no_solution_found,-,-,0.010528840124607086,-,-
qb-nonlinear,scenario3,twolocalrandom,10,nonlinear,10,40,solution_found,195.67000000000002,195.67000000000002,16.105771254748106,205.67091706041037,195.67000000000002
qb-linear,scenario2,qnn,6,linear,-,-,solution_found,-1119.8693340790699,-365.91392298536414,0.016441192477941513,365.91392298536414,1151.52
qb-nonlinear,scenario1,qpeexact,8,nonlinear,10,40,no_backends_available,-,-,-,-,-
qb-linear,scenario3,qpeexact,6,linear,-,-,solution_found,565.32,533.0400000000001,0.01646055281162262,614.7830155095629,533.0400000000001
qb-nonlinear,scenario3,qaoa,6,nonlinear,10,40,solution_found,435.68999999999994,435.68999999999994,17.000887604430318,539.4498540015658,435.68999999999994
qb-linear,scenario3,twolocalrandom,10,linear,-,-,solution_found,265.6,229.51999999999998,0.017210859805345535,200.07617253840908,229.51999999999998
qb-linear,scenario3,ghz,10,linear,-,-,solution_found,1109.25,1063.6,0.019980762153863907,773.2004561105423,1063.6
qb-nonlinear,scenario1,qft,6,nonlinear,10,40,solution_found,200.9147148803291,200.9147148803291,23.506500525400043,204.69942976065815,197.13
qb-linear,scenario2,twolocalrandom,10,linear,-,-,solution_found,-881.3454744713816,-251.3387501360923,0.016354911029338837,251.3387501360923,849.32
qb-nonlinear,scenario1,qaoa,8,nonlinear,10,40,solution_found,576.016105096001,576.016105096001,11.22639150545001,490.99221019200195,661.04
qb-linear,scenario2,realamprandom,8,linear,-,-,solution_found,-881.3454744713816,-251.3387501360923,0.016324207186698914,251.3387501360923,849.32
qb-nonlinear,scenario2,qaoa,6,nonlinear,10,40,solution_found,-668.1906245356673,-668.1906245356673,23.28635617904365,668.1906245356673,1597.3200000000002
qb-nonlinear,scenario1,qft,8,nonlinear,10,40,solution_found,200.45355791689698,200.45355791689698,23.697874737903476,205.23711583379395,195.67000000000002
qb-linear,scenario1,vqe,6,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.02009928785264492,171.90508827040702,294.15999999999997
qb-linear,scenario3,dj,6,linear,-,-,solution_found,446.02,413.04,0.016194576397538185,454.6951911697324,413.04
qb-nonlinear,scenario1,qnn,10,nonlinear,10,40,solution_found,274.3511622610111,274.3511622610111,24.56892125122249,290.1323245220222,258.57
qb-nonlinear,scenario1,vqe,10,nonlinear,10,40,solution_found,200.60290585747012,200.60290585747012,24.511879976838827,203.93581171494026,197.26999999999998
qb-nonlinear,scenario2,dj,10,nonlinear,10,40,solution_found,-573.9961254675458,-573.9961254675458,25.527892027050257,573.9961254675458,1571.12
qb-linear,scenario1,twolocalrandom,8,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.020218241959810257,171.90508827040702,294.15999999999997
qb-nonlinear,scenario2,vqe,6,nonlinear,10,40,solution_found,-253.90565971311358,-253.90565971311358,21.32932681404054,253.90565971311358,699.32
qb-nonlinear,scenario2,realamprandom,6,nonlinear,10,40,solution_found,-253.344994364653,-253.344994364653,21.79960284754634,253.344994364653,734.32
qb-nonlinear,scenario3,realamprandom,8,nonlinear,10,40,solution_found,195.57,195.57,15.366173831745982,205.35441865045985,195.57
qb-nonlinear,scenario2,qaoa,8,nonlinear,10,40,solution_found,-669.2827608810425,-669.2827608810425,23.668225018307567,669.2827608810425,1565.5200000000002
qb-nonlinear,scenario2,twolocalrandom,8,nonlinear,10,40,solution_found,-254.00395930055626,-254.00395930055626,21.666105967015028,254.00395930055626,749.5200000000001
qb-nonlinear,scenario3,qaoa,8,nonlinear,10,40,solution_found,434.2000000000001,434.2000000000001,17.895220942795277,539.3495235069441,434.2000000000001
qb-nonlinear,scenario3,twolocalrandom,6,nonlinear,10,40,solution_found,195.28000000000003,195.28000000000003,14.733297232538462,206.14657574306256,195.28000000000003
qb-nonlinear,scenario3,qft,10,nonlinear,10,40,solution_found,195.28000000000003,195.28000000000003,15.893065590411425,205.38269127834093,195.28000000000003
qb-linear,scenario2,qnn,10,linear,-,-,solution_found,-1119.8693340790699,-365.91392298536414,0.01619894616305828,365.91392298536414,1151.52
qb-linear,scenario2,vqe,10,linear,-,-,solution_found,-881.3454744713816,-251.3387501360923,0.017732609063386917,251.3387501360923,849.32
qb-linear,scenario3,qaoa,10,linear,-,-,solution_found,505.76,473.36,0.01781574822962284,535.3690667760226,473.36
qb-nonlinear,scenario3,twolocalrandom,8,nonlinear,10,40,solution_found,194.96,194.96,15.934134393930435,205.77018645073744,194.96
qb-linear,scenario2,qft,6,linear,-,-,solution_found,-881.3454744713816,-251.3387501360923,0.01793244108557701,251.3387501360923,849.32
qb-nonlinear,scenario1,qnn,8,nonlinear,10,40,solution_found,273.3681855514111,273.3681855514111,24.363963045179844,293.02637110282217,253.71
qb-linear,scenario2,twolocalrandom,6,linear,-,-,solution_found,-881.3454744713816,-251.3387501360923,0.017201151698827744,251.3387501360923,849.32
qb-linear,scenario1,wstate,10,linear,-,-,no_backends_available,-,-,-,-,-
qb-linear,scenario2,dj,6,linear,-,-,solution_found,-1535.216906290117,-565.6359819847767,0.017731178551912308,565.6359819847767,1296.12
