scenario_name,algorithm,size,annealings,iterations,status,evaluation,exec_time
scenario2,qft,8,1,40,solution_found,252.43286917789948,2.673257825896144
scenario3,qft,6,10,35,solution_found,195.2,13.142342587932944
scenario2,twolocalrandom,8,5,15,solution_found,249.1738732121873,4.403302766382694
scenario2,dj,10,1,15,solution_found,556.1684882363722,1.3281809948384762
scenario1,dj,10,20,55,solution_found,470.2428586269273,51.63304280675948
scenario3,dj,10,1,5,solution_found,434.07,0.3753078691661358
scenario2,qaoa,10,20,30,solution_found,673.277863775657,37.165302550420165
scenario3,vqe,6,5,50,solution_found,197.2,9.329947523772717
scenario2,qnn,8,10,55,solution_found,365.1850131270539,30.047033386304975
scenario2,vqe,6,30,10,solution_found,247.379655456667,16.8155091740191
scenario1,qft,10,5,45,solution_found,200.4348534155698,13.978424739092588
scenario3,twolocalrandom,8,15,60,solution_found,195.26999999999998,34.16592205688357
scenario3,realamprandom,10,1,15,solution_found,213.68,0.7917084563523531
scenario3,realamprandom,6,25,25,solution_found,194.73000000000002,23.27000940218568
scenario3,qaoa,10,10,10,solution_found,448.6700000000001,5.219835316762328
scenario3,vqe,10,10,5,solution_found,203.25,2.3898373041301966
scenario1,qnn,6,30,20,solution_found,274.27740559030764,36.55562590248883
scenario3,twolocalrandom,10,25,10,solution_found,200.13,10.463009549304843
scenario1,qaoa,6,10,30,solution_found,576.1967132502642,7.89028218947351
scenario2,qaoa,10,20,45,solution_found,671.3794938959826,54.99361118488014
scenario3,qaoa,8,1,45,solution_found,434.2000000000001,2.3754168041050434
scenario1,qft,6,25,45,solution_found,200.1661436994427,64.15099725872278
scenario3,qft,10,1,10,solution_found,206.16000000000003,0.5771174132823944
scenario1,vqe,6,15,35,solution_found,200.5011569730736,30.22661942243576
scenario1,realamprandom,10,25,5,solution_found,203.64581781719812,8.739454295486212
scenario2,qnn,8,20,30,solution_found,364.56476565885,33.17075158841908
scenario2,qaoa,8,5,5,solution_found,620.9717345378643,1.8483059722930193
scenario1,qft,8,30,35,solution_found,200.10622506867375,61.82890153117478
scenario2,realamprandom,10,5,60,solution_found,254.05145103014786,16.550648104399443
scenario1,twolocalrandom,6,25,5,solution_found,204.0624850990394,18.653495775535703
scenario1,realamprandom,8,25,50,solution_found,200.17584617400902,73.67344538494945
scenario1,realamprandom,10,25,1,solution_found,207.0651417540475,2.7038403879851103
scenario2,vqe,8,5,1,solution_found,226.67312813470454,0.5541753079742193
scenario2,dj,10,30,35,solution_found,577.1406612986003,67.1944046728313
scenario1,realamprandom,6,20,45,solution_found,200.70026361863626,51.46226745098829
scenario3,qft,8,20,45,solution_found,195.32000000000002,34.89227860793471
scenario3,realamprandom,10,30,5,solution_found,204.72000000000003,6.815444551408291
scenario1,qaoa,10,1,55,solution_found,578.7686836850746,1.5970791280269623
scenario2,qaoa,10,5,5,solution_found,654.1237121554998,1.9639409966766834
scenario1,qft,8,1,10,solution_found,207.04342643181533,1.5603354889899492
scenario1,qnn,8,20,25,solution_found,274.0831355639453,31.22814178094268
scenario1,qnn,6,1,60,solution_found,277.5448399402612,3.9270320143550634
scenario2,qaoa,10,1,25,solution_found,663.0627090413843,1.8619374372065067
scenario1,dj,6,25,45,solution_found,470.77607149053927,48.017450004816055
scenario1,qaoa,8,15,20,solution_found,576.9285883106329,8.32048462331295
scenario3,dj,8,10,10,solution_found,382.59,4.900096287950873
scenario2,dj,6,1,15,solution_found,541.3963990563576,1.0560451447963715
scenario2,qaoa,8,15,35,solution_found,672.5491414188708,30.94981631822884
scenario1,dj,10,25,60,solution_found,470.2128441596693,70.10529082641006
scenario1,dj,10,30,10,solution_found,473.4144852475219,15.222398115321994
scenario2,realamprandom,6,10,1,solution_found,230.89194078216718,1.333832612261176
scenario3,qnn,10,25,55,solution_found,254.27,56.34600381553173
scenario2,qft,6,15,10,solution_found,243.76794776509908,8.683402877300978
