baseline,scenario_name,algorithm,size,optimizer,annealings,iterations,status,score,evaluation,exec_time,total_cost,max_time,min_fidelity
qb-nonlinear,scenario1,vqe,10,nonlinear,10,40,solution_found,200.1105514869957,200.1105514869957,24.446450581774116,205.2611029739914,194.96,0.9566
qb-nonlinear,scenario2,dj,10,nonlinear,10,40,solution_found,-576.9990110020735,576.9990110020735,25.885309506207705,576.9990110020735,1688.12,0.8635
qb-linear,scenario1,twolocalrandom,8,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.020070992410182953,171.90508827040702,294.15999999999997,0.9539
qb-nonlinear,scenario2,vqe,6,nonlinear,10,40,solution_found,-253.95881376859884,253.95881376859884,20.962915109470487,253.95881376859884,725.9200000000001,0.8813
qb-nonlinear,scenario2,realamprandom,6,nonlinear,10,40,solution_found,-253.73796715099053,253.73796715099053,21.129296384751797,253.73796715099053,720.5200000000001,0.9018
qb-nonlinear,scenario3,realamprandom,8,nonlinear,10,40,solution_found,195.26999999999998,195.26999999999998,15.393499288707972,205.39517123791973,195.26999999999998,0.9566
qb-nonlinear,scenario2,qaoa,8,nonlinear,10,40,solution_found,-673.4394354037956,673.4394354037956,24.059594990685582,673.4394354037956,1686.72,0.8552
qb-nonlinear,scenario2,twolocalrandom,8,nonlinear,10,40,solution_found,-252.87593860681486,252.87593860681486,22.03359118849039,252.87593860681486,734.12,0.9168
qb-nonlinear,scenario3,qaoa,8,nonlinear,10,40,solution_found,433.07000000000005,433.07000000000005,18.09705645032227,539.6486219236036,433.07000000000005,0.8789
qb-nonlinear,scenario3,twolocalrandom,6,nonlinear,10,40,solution_found,194.8,194.8,14.800348522141576,206.30223780012483,194.8,0.9565
qb-nonlinear,scenario3,qft,10,nonlinear,10,40,solution_found,194.87,194.87,15.956905519589782,205.8118736889916,194.87,0.9565
qb-linear,scenario2,qnn,10,linear,-,-,solution_found,-749.999990189297,290.7485142031338,0.02685515582561493,290.7485142031338,775.76,0.0
qb-linear,scenario2,vqe,10,linear,-,-,solution_found,-749.9999926263873,225.7945678772191,0.07678490318357944,225.7945678772191,580.52,0.4991
qb-linear,scenario3,qaoa,10,linear,-,-,no_solution_found,-,-,0.012199657037854195,-,-,-
qb-nonlinear,scenario3,twolocalrandom,8,nonlinear,10,40,solution_found,195.92000000000002,195.92000000000002,15.355382360517979,205.15024450320414,195.92000000000002,0.9566
qb-linear,scenario2,qft,6,linear,-,-,solution_found,-749.9999926263873,225.7945678772191,0.07743891514837742,225.7945678772191,580.52,0.4991
qb-nonlinear,scenario1,qnn,8,nonlinear,10,40,solution_found,274.08207230058173,274.08207230058173,24.060759698972106,291.93414460116344,256.23,0.9378
qb-linear,scenario2,twolocalrandom,6,linear,-,-,solution_found,-749.9999926263873,225.7945678772191,0.07863975316286087,225.7945678772191,580.52,0.4991
qb-linear,scenario2,dj,6,linear,-,-,solution_found,-749.9999905401202,290.42777687910177,0.09711496904492378,290.42777687910177,847.89,0.0
qb-nonlinear,scenario2,qft,8,nonlinear,10,40,solution_found,-252.38215914374183,252.38215914374183,21.68705844692886,252.38215914374183,696.32,0.905
qb-nonlinear,scenario3,qnn,10,nonlinear,10,40,solution_found,255.10000000000002,255.10000000000002,16.57508116774261,293.003302026818,255.10000000000002,0.9377
qb-nonlinear,scenario2,qnn,6,nonlinear,10,40,solution_found,-365.3114099267398,365.3114099267398,21.550104282796383,365.3114099267398,1038.42,0.8696
qb-linear,scenario3,realamprandom,8,linear,-,-,solution_found,265.6,229.51999999999998,0.016054457053542137,200.07617253840908,229.51999999999998,0.9564
qb-nonlinear,scenario2,dj,6,nonlinear,10,40,solution_found,-576.2313886950255,576.2313886950255,23.08857242949307,576.2313886950255,1644.62,0.8516
qb-linear,scenario2,vqe,6,linear,-,-,solution_found,-749.9999926263873,225.7945678772191,0.07614835537970066,225.7945678772191,580.52,0.4991
qb-linear,scenario1,qft,10,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.021075839176774025,171.90508827040702,294.15999999999997,0.9539
qb-linear,scenario1,realamprandom,6,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.02093779481947422,171.90508827040702,294.15999999999997,0.9539
qb-linear,scenario3,realamprandom,6,linear,-,-,solution_found,265.6,229.51999999999998,0.015763700008392334,200.07617253840908,229.51999999999998,0.9564
qb-linear,scenario1,qft,6,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.020021727308630943,171.90508827040702,294.15999999999997,0.9539
qb-linear,scenario2,qaoa,10,linear,-,-,solution_found,-749.9999906088016,303.8800669815981,0.12237916141748428,303.8800669815981,1525.0700000000002,0.6303
qb-nonlinear,scenario1,vqe,8,nonlinear,10,40,solution_found,200.51783450683553,200.51783450683553,23.998879127204418,205.13566901367102,195.9,0.9566
qb-nonlinear,scenario3,qnn,8,nonlinear,10,40,solution_found,254.07,254.07,15.783766821026802,292.4587585979582,254.07,0.9378
qb-nonlinear,scenario2,twolocalrandom,10,nonlinear,10,40,solution_found,-254.0678877386129,254.0678877386129,22.744736729189754,254.0678877386129,698.32,0.8522
qb-nonlinear,scenario1,dj,10,nonlinear,10,40,solution_found,470.57021660880093,470.57021660880093,18.742325503379107,477.57043321760193,463.57,0.9084
qb-nonlinear,scenario3,vqe,8,nonlinear,10,40,solution_found,194.2,194.2,15.689785683527589,205.58610445349305,194.2,0.9565
qb-linear,scenario3,vqe,6,linear,-,-,solution_found,265.6,229.51999999999998,0.016992198303341866,200.07617253840908,229.51999999999998,0.9564
qb-linear,scenario1,twolocalrandom,10,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.021912960335612297,171.90508827040702,294.15999999999997,0.9539
qb-linear,scenario3,vqe,8,linear,-,-,solution_found,265.6,229.51999999999998,0.015991467982530594,200.07617253840908,229.51999999999998,0.9564
qb-nonlinear,scenario3,vqe,10,nonlinear,10,40,solution_found,194.92000000000002,194.92000000000002,16.08389268256724,206.08208615390777,194.92000000000002,0.9565
qb-linear,scenario2,qft,8,linear,-,-,solution_found,-749.9999926263873,225.7945678772191,0.07476668432354927,225.7945678772191,580.52,0.4991
qb-linear,scenario1,realamprandom,10,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.022466547787189484,171.90508827040702,294.15999999999997,0.9539
qb-linear,scenario3,twolocalrandom,6,linear,-,-,solution_found,265.6,229.51999999999998,0.016350265592336655,200.07617253840908,229.51999999999998,0.9564
qb-nonlinear,scenario1,dj,8,nonlinear,10,40,solution_found,472.3389288995523,472.3389288995523,17.87625596113503,475.57785779910455,469.1,0.9083
qb-nonlinear,scenario2,qnn,10,nonlinear,10,40,solution_found,-365.85512111456273,365.85512111456273,22.744532587006688,365.85512111456273,1118.8200000000002,0.8696
qb-linear,scenario3,qft,8,linear,-,-,solution_found,265.6,229.51999999999998,0.016010593622922897,200.07617253840908,229.51999999999998,0.9564
qb-nonlinear,scenario3,realamprandom,10,nonlinear,10,40,solution_found,194.85,194.85,16.28872326388955,205.34718488662514,194.85,0.9566
qb-linear,scenario1,dj,6,linear,-,-,no_solution_found,-,-,0.013977186754345894,-,-,-
all_fez,scenario1,qnn,10,-,-,-,-,-,810.465806011304,-,362.01161202260806,1258.92,0.9454
all_fez,scenario2,qnn,10,-,-,-,-,-,-362.01161202260806,-,362.01161202260806,1258.92,0.9454
all_fez,scenario3,qnn,10,-,-,-,-,-,1258.92,-,362.01161202260806,1258.92,0.9454
all_sherbrooke,scenario1,vqe,6,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001,0.9671
all_sherbrooke,scenario2,vqe,6,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001,0.9671
all_sherbrooke,scenario3,vqe,6,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001,0.9671
all_torino,scenario1,qaoa,8,-,-,-,-,-,923.4547322237238,-,543.0094644474474,1303.9,0.9097
all_torino,scenario2,qaoa,8,-,-,-,-,-,-543.0094644474474,-,543.0094644474474,1303.9,0.9097
all_torino,scenario3,qaoa,8,-,-,-,-,-,1303.9,-,543.0094644474474,1303.9,0.9097
all_fez,scenario1,dj,8,-,-,-,-,-,1325.7028500902884,-,573.285700180577,2078.12,0.9097
all_fez,scenario2,dj,8,-,-,-,-,-,-573.285700180577,-,573.285700180577,2078.12,0.9097
all_fez,scenario3,dj,8,-,-,-,-,-,2078.12,-,573.285700180577,2078.12,0.9097
all_kyiv,scenario1,twolocalrandom,10,-,-,-,-,-,356.9350188137996,-,132.26003762759927,581.6099999999999,0.9592
all_kyiv,scenario2,twolocalrandom,10,-,-,-,-,-,-132.26003762759927,-,132.26003762759927,581.6099999999999,0.9592
all_kyiv,scenario3,twolocalrandom,10,-,-,-,-,-,581.6099999999999,-,132.26003762759927,581.6099999999999,0.9592
all_kyiv,scenario1,qaoa,10,-,-,-,-,-,960.0547247570753,-,355.45944951415066,1564.6499999999999,0.8797
all_kyiv,scenario2,qaoa,10,-,-,-,-,-,-355.45944951415066,-,355.45944951415066,1564.6499999999999,0.8797
all_kyiv,scenario3,qaoa,10,-,-,-,-,-,1564.6499999999999,-,355.45944951415066,1564.6499999999999,0.8797
fair,scenario1,twolocalrandom,6,-,-,-,-,-,223.22375348793224,-,197.5775069758645,248.87,0.9564
fair,scenario2,twolocalrandom,6,-,-,-,-,-,-197.5775069758645,-,197.5775069758645,248.87,0.9564
fair,scenario3,twolocalrandom,6,-,-,-,-,-,248.87,-,197.5775069758645,248.87,0.9564
all_marrakesh,scenario1,qft,8,-,-,-,-,-,455.8634975119044,-,171.32699502380885,740.4,0.9785
all_marrakesh,scenario2,qft,8,-,-,-,-,-,-171.32699502380885,-,171.32699502380885,740.4,0.9785
all_marrakesh,scenario3,qft,8,-,-,-,-,-,740.4,-,171.32699502380885,740.4,0.9785
all_kyiv,scenario1,dj,10,-,-,-,-,-,810.279857680378,-,301.669715360756,1318.8899999999999,0.8997
